"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol"
83.1199806921229,2.56514090030912,0.275912262467342,8.95354394539886,3.44248730474324e-19,7.54674749793777e-17,"3563","IL3RA"
386.229035394328,-1.90780340477965,0.212910795577164,-8.93592956831678,4.03769131068605e-19,8.73662012043381e-17,"10336","PCGF3"
661.872932694726,-2.08587884588082,0.234619747698034,-8.8908073304205,6.06664926553059e-19,1.29585183862827e-16,"148213","ZNF681"
80.9492408649307,2.67270269729977,0.283622496302496,8.87671450510898,6.88642593631555e-19,1.45233851297409e-16,"283848","CES4A"
272.095161217686,5.37374725451258,0.248738408095153,8.87401424631284,7.05555299516301e-19,1.46940710565514e-16,"6756","SSX1"
164.56347925891,-2.24063285260362,0.251251107882336,-8.83283900316922,1.0205185765905e-18,2.09911851908324e-16,"29967","LRP12"
73.5437119897355,2.55569270972775,0.277290976590158,8.78717872895997,1.53362686811475e-18,3.11606795727558e-16,"944","TNFSF8"
1988.41955436848,1.84913868263333,0.211185774603647,8.75847753012444,1.9790516246229e-18,3.972648086487e-16,"11314","CD300A"
5968.54487828819,0.881534191334019,0.100954656507869,8.7317224833105,2.50823048357455e-18,4.97495572462328e-16,"5127","CDK16"
1063.25376943884,1.16504414619625,0.261354535403847,8.72108582445972,2.75546472870058e-18,5.40103504057417e-16,"30848","CTAG2"
132.645580039398,2.41842424588238,0.279317191187176,8.68921398871345,3.64955659600202e-18,7.07037935418485e-16,"8437","RASAL1"
21171.4976641398,1.09611129720337,0.12668837123244,8.65197244052507,5.06168699319957e-18,9.69342149352851e-16,"293","SLC25A6"
8262.68182379475,0.843255140731066,0.097524206855517,8.64645691468684,5.31230843501705e-18,1.00577694131613e-15,"2678","GGT1"
79.9007996596433,2.47080395696852,0.278037049864921,8.62082009789352,6.64762797024285e-18,1.24445089451928e-15,"6928","HNF1B"
247.542877014991,-1.8427937738965,0.212898374989994,-8.61838145673755,6.79071323138384e-18,1.25711192386762e-15,"113235","SLC46A1"
109.120647329231,-2.08980555270696,0.239298828143842,-8.59364614362599,8.42522157000476e-18,1.54255622613021e-15,"201161","CENPV"
61.2031001682637,2.49802909437685,0.275134663196565,8.55663534184425,1.16209389285111e-17,2.10452677704265e-15,"973","CD79A"
614.769973213028,-1.49857882508584,0.175723646468525,-8.51939831794201,1.60384349541702e-17,2.87329424485409e-15,"3115","HLA-DPB1"
827.996009081842,1.25163924155034,0.14731311840026,8.49233330960305,2.02529173328364e-17,3.54740801203017e-15,"11230","PRAF2"
158.918350516529,-4.68838162708307,0.254374966515734,-8.49289453680297,2.01553184383969e-17,3.54740801203017e-15,"169981","SPIN3"
822.538843813076,1.30058248845119,0.15308723431996,8.49126482840962,2.04400197560108e-17,3.54740801203017e-15,"5973","RENBP"
1278.88721042616,1.12242729487599,0.132252786304308,8.48493492798422,2.15839482512451e-17,3.70732125581438e-15,"51393","TRPV2"
51.2057907552196,2.85435374798494,0.278661505082673,8.40365255206832,4.32801954532482e-17,7.35807486169968e-15,"100048912","CDKN2B-AS1"
426.485849610874,1.52144891708438,0.180826478510534,8.40176775635221,4.39807001691434e-17,7.40164086381917e-15,"54947","LPCAT2"
96.792503101265,4.19370199207051,0.266479138660899,8.372518185403,5.63998168324087e-17,9.39677348244761e-15,"4105","MAGEA6"
596.238843769818,-1.22461482603786,0.146312750117556,-8.36326617896792,6.10053657303081e-17,1.00634692914125e-14,"51474","LIMA1"
65.4768722754245,2.43031003774346,0.279358039507973,8.33328812890301,7.86274971773483e-17,1.2843262063449e-14,"54549","SDK2"
241.715528536379,1.34114139712292,0.162207726447338,8.24915993887879,1.59511833545131e-16,2.58022005698584e-14,"2201","FBN2"
